"PARENT COMPANIES","REPORTING YEAR","GHG QUANTITY (METRIC TONS CO2e)"
"Air Products",2010,9418641
"Air Products",2011,10451301
"Air Products",2012,10868083
"Air Products",2013,11648318
"Air Products",2014,12306067
"Air Products",2015,12376081
"Air Products",2016,12212587
"Air Products",2017,12358735
"Air Products",2018,12441209
"Air Products",2019,12567862
"Air Products",2020,11509097
"Air Products",2021,12345183
"Air Products",2022,13342140
"Albemarle",2010,272861
"Albemarle",2011,303011
"Albemarle",2012,288786
"Albemarle",2013,275531
"Albemarle",2014,277006
"Albemarle",2015,261045
"Albemarle",2016,232909
"Albemarle",2017,237791
"Albemarle",2018,239551
"Albemarle",2019,242638
"Albemarle",2020,238652
"Albemarle",2021,230764
"Albemarle",2022,236979
"Celanese",2010,493207
"Celanese",2011,414041
"Celanese",2012,475486
"Celanese",2013,419030
"Celanese",2014,453779
"Celanese",2015,550640
"Celanese",2016,618191
"Celanese",2017,621492
"Celanese",2018,696689
"Celanese",2019,1556746
"Celanese",2020,1355753
"Celanese",2021,1198859
"Celanese",2022,1220407
"DOW",2010,12630017
"DOW",2011,12536723
"DOW",2012,11825392
"DOW",2013,12219541
"DOW",2014,12465564
"DOW",2015,10359416
"DOW",2016,10293133
"DOW",2017,10942947
"DOW",2018,11166145
"DOW",2019,10886563
"DOW",2020,12054438
"DOW",2021,11500393
"DOW",2022,10878405
"Exxon",2010,1288325
"Exxon",2011,1391983
"Exxon",2012,1470994
"Exxon",2013,1388111
"Exxon",2014,1299559
"Exxon",2015,845383
"Exxon",2016,258015
"Exxon",2017,276587
"Exxon",2018,289395
"Exxon",2019,371842
"Exxon",2020,285904
"Exxon",2021,492943
"Exxon",2022,1850255
"Honeywell",2010,5187535
"Honeywell",2011,5000129
"Honeywell",2012,4526329
"Honeywell",2013,2338228
"Honeywell",2014,2201118
"Honeywell",2015,2053828
"Honeywell",2016,611815
"Honeywell",2017,686142
"Honeywell",2018,795400
"Honeywell",2019,687982
"Honeywell",2020,667048
"Honeywell",2021,664189
"Honeywell",2022,526828
"Huntsman",2010,1424762
"Huntsman",2011,1253289
"Huntsman",2012,1284048
"Huntsman",2013,1265337
"Huntsman",2014,1358649
"Huntsman",2015,1586143
"Huntsman",2016,1648675
"Huntsman",2017,1709079
"Huntsman",2018,1375203
"Huntsman",2019,1436207
"Huntsman",2020,115550
"Huntsman",2021,113841
"Huntsman",2022,112151
"Mosaic",2010,1631834
"Mosaic",2011,1111771
"Mosaic",2012,2047344
"Mosaic",2013,1793504
"Mosaic",2014,1852025
"Mosaic",2015,1944452
"Mosaic",2016,1896890
"Mosaic",2017,1385915
"Mosaic",2018,1607550
"Mosaic",2019,1221831
"Mosaic",2020,1457894
"Mosaic",2021,1305790
"Mosaic",2022,1309315
"Occidental Petroleum",2010,3282540
"Occidental Petroleum",2011,3126521
"Occidental Petroleum",2012,3190466
"Occidental Petroleum",2013,3175120
"Occidental Petroleum",2014,3309593
"Occidental Petroleum",2015,3339141
"Occidental Petroleum",2016,3159055
"Occidental Petroleum",2017,3554526
"Occidental Petroleum",2018,3462150
"Occidental Petroleum",2019,3568452
"Occidental Petroleum",2020,3536487
"Occidental Petroleum",2021,3432608
"Occidental Petroleum",2022,3645736
"PPG Industries",2010,2381974
"PPG Industries",2011,2305881
"PPG Industries",2012,2283507
"PPG Industries",2013,93976
"PPG Industries",2014,108633
"PPG Industries",2015,119883
"PPG Industries",2016,95559
"PPG Industries",2017,144129
"PPG Industries",2018,118938
"PPG Industries",2019,127764
"PPG Industries",2020,75142
"PPG Industries",2021,82618
"PPG Industries",2022,88398
"Westlake",2010,1743487
"Westlake",2011,1750963
"Westlake",2012,1630491
"Westlake",2013,1822781
"Westlake",2014,2842814
"Westlake",2015,1636191
"Westlake",2016,2726171
"Westlake",2017,3372228
"Westlake",2018,3257308
"Westlake",2019,4471794
"Westlake",2020,5731101
"Westlake",2021,5959319
"Westlake",2022,5614694
